Date,Stock,Stock_change,Price,Price_change,Days_of_Supply,DoS_change
7/14/1995,1016166,0.006028253,17.34,0.006384214,20.8,0.004830918
7/21/1995,1010498,-0.005577829,17.14,-0.011534025,20.5,-0.014423077
7/28/1995,1005347,-0.005097487,17.25,0.006417736,20.8,0.014634146
8/4/1995,1000165,-0.005154439,17.69,0.025507246,20.3,-0.024038462
8/11/1995,1003807,0.003641399,17.79,0.005652911,20.5,0.009852217
8/18/1995,994435,-0.009336456,17.61,-0.010118044,20.1,-0.019512195
8/25/1995,995693,0.00126504,18.1,0.027825099,20.3,0.009950249
9/1/1995,1010297,0.014667172,17.86,-0.013259669,20.8,0.024630542
9/8/1995,1006632,-0.003627646,18.41,0.030795073,20.4,-0.019230769
9/15/1995,1007889,0.001248718,18.68,0.014665942,20.1,-0.014705882
9/22/1995,1008785,0.000888987,18.28,-0.021413276,20.1,0
9/29/1995,1015620,0.006775477,17.53,-0.041028446,19.7,-0.019900498
10/6/1995,1007590,-0.0079065,17.28,-0.014261266,19.6,-0.005076142
10/13/1995,1005058,-0.002512927,17.31,0.001736111,20,0.020408163
10/20/1995,1002249,-0.002794864,17.51,0.011554015,20.4,0.02
10/27/1995,996324,-0.005911705,17.39,-0.006853227,20.8,0.019607843
11/3/1995,995729,-0.000597195,17.78,0.022426682,21.2,0.019230769
11/10/1995,986008,-0.009762696,17.77,-0.00056243,21.1,-0.004716981
11/17/1995,992765,0.006852886,18.06,0.01631964,21.7,0.028436019
11/24/1995,1000394,0.007684598,18,-0.003322259,22.1,0.01843318
12/1/1995,995012,-0.00537988,18.32,0.017777778,21.6,-0.022624434
12/8/1995,985811,-0.009247125,18.75,0.023471616,21,-0.027777778
12/15/1995,986733,0.000935271,19,0.013333333,21.3,0.014285714
12/22/1995,970115,-0.016841435,19.17,0.008947368,20.9,-0.018779343
12/29/1995,961968,-0.008397973,19.42,0.01304121,20.2,-0.033492823
1/5/1996,955175,-0.007061565,19.97,0.028321318,20.4,0.00990099
1/12/1996,953816,-0.001422776,19.17,-0.04006009,20.7,0.014705882
1/19/1996,957409,0.003766974,18.61,-0.029212311,21.1,0.019323671
1/26/1996,950819,-0.006883161,18.07,-0.029016658,21.1,0
2/2/1996,943984,-0.00718854,17.65,-0.023242944,21,-0.004739336
2/9/1996,927649,-0.017304319,17.7,0.002832861,20.9,-0.004761905
2/16/1996,912568,-0.016257227,18.81,0.062711864,20.8,-0.004784689
2/23/1996,906505,-0.006643888,19.92,0.059011164,20.9,0.004807692
3/1/1996,901067,-0.005998864,19.47,-0.022590361,20.7,-0.009569378
3/8/1996,905042,0.004411437,19.67,0.010272214,21.3,0.028985507
3/15/1996,893928,-0.012280093,20.82,0.058464667,20.8,-0.023474178
3/22/1996,886222,-0.008620381,22.73,0.091738713,20.7,-0.004807692
3/29/1996,886598,0.000424273,21.85,-0.038715354,20.4,-0.014492754
4/5/1996,884561,-0.002297546,22.5,0.029748284,20.4,0
4/12/1996,892281,0.008727493,23.99,0.066222222,20.3,-0.004901961
4/19/1996,894645,0.00264939,24.39,0.016673614,19.8,-0.024630542
4/26/1996,901582,0.007753914,22.74,-0.067650677,19.8,0
5/3/1996,911821,0.011356704,21.3,-0.063324538,20.2,0.02020202
5/10/1996,912946,0.001233795,20.97,-0.015492958,20.1,-0.004950495
5/17/1996,913649,0.000770035,21.14,0.008106819,19.8,-0.014925373
5/24/1996,911907,-0.00190664,21.82,0.032166509,19.8,0
5/31/1996,928731,0.01844925,20.39,-0.065536205,20.5,0.035353535
6/7/1996,933252,0.004867933,20.07,-0.015693968,20.2,-0.014634146
6/14/1996,935539,0.002450571,20.16,0.004484305,19.9,-0.014851485
6/21/1996,937200,0.001775447,20.99,0.041170635,20,0.005025126
6/28/1996,939283,0.002222578,20.51,-0.022868032,20.4,0.02
7/5/1996,945138,0.006233478,21.29,0.038030229,20.6,0.009803922
7/12/1996,946936,0.001902368,21.62,0.015500235,20.5,-0.004854369
7/19/1996,944073,-0.003023436,21.87,0.011563367,20.3,-0.009756098
7/26/1996,938419,-0.005988944,20.79,-0.049382716,20.4,0.004926108
8/2/1996,935124,-0.003511225,20.68,-0.005291005,20.2,-0.009803922
8/9/1996,935031,-9.95E-05,21.38,0.03384913,20.1,-0.004950495
8/16/1996,938869,0.004104677,22.25,0.040692236,20.2,0.004975124
8/23/1996,948814,0.010592532,22.42,0.007640449,20.9,0.034653465
8/30/1996,947250,-0.001648374,21.86,-0.024977698,20.5,-0.019138756
9/6/1996,945687,-0.00165004,23.48,0.07410796,20.3,-0.009756098
9/13/1996,944891,-0.000841716,24.42,0.040034072,20.2,-0.004926108
9/20/1996,948919,0.004262926,23.51,-0.037264537,20.2,0
9/27/1996,948722,-0.000207605,24.13,0.026371757,19.8,-0.01980198
10/4/1996,947319,-0.001478832,24.42,0.012018235,19.7,-0.005050505
10/11/1996,940691,-0.006996587,24.95,0.021703522,19.6,-0.005076142
10/18/1996,940483,-0.000221114,25.48,0.021242485,20.1,0.025510204
10/25/1996,936766,-0.003952225,25.18,-0.01177394,20,-0.004975124
11/1/1996,948287,0.012298696,23.97,-0.048054011,20.8,0.04
11/8/1996,936934,-0.011972114,22.89,-0.04505632,20.5,-0.014423077
11/15/1996,930282,-0.007099753,23.88,0.043250328,20.4,-0.004878049
11/22/1996,924833,-0.005857364,23.94,0.002512563,20,-0.019607843
11/29/1996,929174,0.00469382,23.62,-0.01336675,20.1,0.005
12/6/1996,932937,0.004049834,25.15,0.064775614,19.8,-0.014925373
12/13/1996,921080,-0.012709325,24.26,-0.035387674,19.5,-0.015151515
12/20/1996,906873,-0.015424285,25.85,0.065539984,19.1,-0.020512821
12/27/1996,908724,0.00204108,25.01,-0.032495164,19.3,0.010471204
1/3/1997,912902,0.004597656,25.64,0.025189924,18.8,-0.025906736
1/10/1997,917827,0.005394884,26.34,0.027301092,19.4,0.031914894
1/17/1997,909609,-0.008953757,25.44,-0.034168565,19.5,0.005154639
